zip,latitude,longitude,city,stateCode,state,county,country,countryCodeIso2,countryCodeIso3,type
35771,34.53626,-86.00238,Section,AL,Alabama,Jackson,United State Of America,US,USA,Location
35772,34.89075,-85.88755,Stevenson,AL,Alabama,Jackson,United State Of America,US,USA,Location
35773,34.89329,-86.7125,Toney,AL,Alabama,Madison,United State Of America,US,USA,Location
35774,34.76323,-86.22948,Trenton,AL,Alabama,Jackson,United State Of America,US,USA,Location
35775,34.54807,-86.69778,Valhermoso Springs,AL,Alabama,Morgan,United State Of America,US,USA,Location
35776,34.66144,-86.2383,Woodville,AL,Alabama,Jackson,United State Of America,US,USA,Location
35801,34.72465,-86.56222,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35802,34.6697,-86.55886,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35803,34.56468,-86.52141,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35805,34.70858,-86.62125,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35806,34.76306,-86.68511,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35808,34.63187,-86.65738,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35810,34.80096,-86.60762,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35811,34.79693,-86.50603,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35816,34.74016,-86.63031,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35824,34.6444,-86.75324,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35896,34.7543,-86.65457,Huntsville,AL,Alabama,Madison,United State Of America,US,USA,Location
35901,34.04796,-85.92463,Gadsden,AL,Alabama,Etowah,United State Of America,US,USA,Location
35903,34.02708,-85.86093,Gadsden,AL,Alabama,Etowah,United State Of America,US,USA,Location
35904,34.07019,-85.9931,Gadsden,AL,Alabama,Etowah,United State Of America,US,USA,Location
35905,33.93408,-85.89942,Gadsden,AL,Alabama,Etowah,United State Of America,US,USA,Location
35906,33.9318,-86.08978,Rainbow City,AL,Alabama,Etowah,United State Of America,US,USA,Location
35907,33.8979,-86.02446,Gadsden,AL,Alabama,Etowah,United State Of America,US,USA,Location
35950,34.25261,-86.26201,Albertville,AL,Alabama,Marshall,United State Of America,US,USA,Location
35951,34.34125,-86.16165,Albertville,AL,Alabama,Marshall,United State Of America,US,USA,Location
35952,34.05283,-86.30823,Altoona,AL,Alabama,Etowah,United State Of America,US,USA,Location
35953,33.81243,-86.22612,Ashville,AL,Alabama,St. Clair,United State Of America,US,USA,Location
35954,34.08839,-86.06009,Attalla,AL,Alabama,Etowah,United State Of America,US,USA,Location
